filename_15mk,filename_100mk,channel_id,vac_peak_V,frequency_hz,current_ratio_mag,current_ratio_phase_deg,current_ratio_real,current_ratio_imag,Ites_ac_15mk_real,Ites_ac_15mk_imag,Ites_ac_100mk_real,Ites_ac_100mk_imag
data_20250429_121218_15mK_vbias0v0_vac_0v040.npz,data_20250429_124259_100mK_vbias0v0_vac_0v040.npz,11,2.000000e-02,3.100000e+03,2.401336e+00,-6.638787e+01,9.618384e-01,-2.200291e+00,1.083915e-08,4.427784e-08,-1.508712e-08,1.152144e-08
data_20250429_121218_15mK_vbias0v0_vac_0v040.npz,data_20250429_124259_100mK_vbias0v0_vac_0v040.npz,11,2.000000e-02,4.200000e+03,1.895156e+00,-6.035844e+01,9.372917e-01,-1.647149e+00,2.085281e-09,-3.362120e-08,1.596319e-08,-7.817680e-09
data_20250429_121218_15mK_vbias0v0_vac_0v040.npz,data_20250429_124259_100mK_vbias0v0_vac_0v040.npz,11,2.000000e-02,5.600000e+03,1.568337e+00,1.379361e+01,1.523107e+00,3.739311e-01,1.007256e-08,2.323827e-08,9.770011e-09,1.285856e-08
data_20250429_121218_15mK_vbias0v0_vac_0v040.npz,data_20250429_124259_100mK_vbias0v0_vac_0v040.npz,11,2.000000e-02,7.400000e+03,1.359166e+00,5.945446e+01,6.907593e-01,1.170548e+00,-1.804657e-08,6.699033e-09,-2.503230e-09,1.394000e-08
data_20250429_121218_15mK_vbias0v0_vac_0v040.npz,data_20250429_124259_100mK_vbias0v0_vac_0v040.npz,11,2.000000e-02,1.000000e+04,1.190563e+00,4.768635e+01,8.014735e-01,8.803865e-01,-9.812320e-09,1.022558e-08,8.029593e-10,1.187645e-08
data_20250429_121218_15mK_vbias0v0_vac_0v040.npz,data_20250429_124259_100mK_vbias0v0_vac_0v040.npz,11,2.000000e-02,1.330000e+04,,,,,1.056942e-08,8.232204e-10,2.696055e-09,-9.349259e-09
data_20250429_121218_15mK_vbias0v0_vac_0v040.npz,data_20250429_124259_100mK_vbias0v0_vac_0v040.npz,11,2.000000e-02,1.770000e+04,,,,,2.582499e-09,7.572985e-09,4.856708e-09,-6.014993e-09
data_20250429_121218_15mK_vbias0v0_vac_0v040.npz,data_20250429_124259_100mK_vbias0v0_vac_0v040.npz,11,2.000000e-02,2.370000e+04,,,,,-1.001214e-09,-5.927680e-09,-4.998243e-09,-2.495794e-09
data_20250429_121218_15mK_vbias0v0_vac_0v040.npz,data_20250429_124259_100mK_vbias0v0_vac_0v040.npz,11,2.000000e-02,3.160000e+04,,,,,-4.474872e-09,9.446603e-10,-2.573388e-09,-2.609048e-09
data_20250429_121218_15mK_vbias0v0_vac_0v040.npz,data_20250429_124259_100mK_vbias0v0_vac_0v040.npz,11,2.000000e-02,4.210000e+04,,,,,2.254811e-09,2.702979e-09,-2.776308e-09,-2.423429e-09
data_20250429_121218_15mK_vbias0v0_vac_0v040.npz,data_20250429_124259_100mK_vbias0v0_vac_0v040.npz,11,2.000000e-02,5.620000e+04,,,,,-1.300992e-09,2.397012e-09,1.284051e-09,-2.556564e-09
data_20250429_121218_15mK_vbias0v0_vac_0v040.npz,data_20250429_124259_100mK_vbias0v0_vac_0v040.npz,11,2.000000e-02,7.490000e+04,,,,,-1.443756e-09,-1.482517e-09,-2.182625e-09,-5.992280e-10
data_20250429_121218_15mK_vbias0v0_vac_0v040.npz,data_20250429_124259_100mK_vbias0v0_vac_0v040.npz,11,2.000000e-02,1.000000e+05,,,,,-5.117823e-10,1.503058e-09,1.257127e-09,-1.111866e-09
